"Name", "Population"
China, 1,412,600,000
India, 1,375,586,000
United States, 331,893,745
Indonesia, 275,773,800
Pakistan, 229,489,000
Nigeria, 216,747,000
Brazil, 215,246,413
Bangladesh, 165,158,616
Russia, 145,100,000
Mexico, 128,533,664
Japan, 125,927,902
Philippines, 112,533,087
Ethiopia, 105,163,988
Egypt, 103,932,090
Vietnam, 98,506,193
DR Congo, 95,241,000
Iran, 85,843,736
Turkey, 84,680,273
Germany, 84,079,811
France, 67,939,000
United Kingdom, 67,081,234
Thailand, 66,845,492
Tanzania, 61,280,743
South Africa, 60,604,992
Italy, 58,867,239
Myanmar, 55,294,979
South Korea, 51,638,809
Colombia, 51,049,498
Kenya, 47,564,296
Spain, 47,432,805
Argentina, 47,327,407
Algeria, 45,400,000
Sudan, 44,819,975
Uganda, 42,885,900
Iraq, 41,190,700
Ukraine, 41,130,432
Canada, 38,968,048
Poland, 37,996,000
Morocco, 36,744,823
Uzbekistan, 35,815,970
Saudi Arabia, 35,013,414
Peru, 33,396,698
Angola, 33,086,278
Afghanistan, 32,890,171
Malaysia, 32,745,000
Mozambique, 31,616,078
Yemen, 31,155,000
Ghana, 30,832,019
Ivory Coast, 29,389,150
Venezuela, 29,267,000
Nepal, 29,192,480
Madagascar, 26,923,353
Australia, 25,979,562
North Korea, 25,660,000
Cameroon, 24,348,251
Niger, 24,112,753
Taiwan, 23,375,314
Sri Lanka, 22,156,000
Burkina Faso, 21,510,181
Malawi, 21,507,723
Mali, 21,474,000
Chile, 19,678,363
Kazakhstan, 19,324,688
Romania, 19,038,098
Zambia, 18,400,556
Syria, 18,276,000
Ecuador, 18,079,320
Netherlands, 17,751,560
Senegal, 17,223,497
Guatemala, 17,109,746
Chad, 16,818,391
Somalia, 16,360,000
Cambodia, 15,552,211
Zimbabwe, 15,178,979
South Sudan, 13,249,924
Rwanda, 12,955,768
Guinea, 12,907,395
Burundi, 12,574,571
Benin, 12,506,347
Tunisia, 11,803,588
Bolivia, 11,797,257
Haiti, 11,743,017
Belgium, 11,671,737
Jordan, 11,316,200
Cuba, 11,113,215
Dominican Republic, 10,535,535
Czech Republic, 10,493,986
Sweden, 10,493,565
Greece, 10,432,481
Portugal, 10,344,802
Azerbaijan, 10,185,784
Hungary, 9,689,000
Israel, 9,587,900
Honduras, 9,546,178
Tajikistan, 9,506,000
United Arab Emirates, 9,282,410
Belarus, 9,255,524
Papua New Guinea, 9,122,994
Austria, 9,061,848
Switzerland, 8,770,283
Sierra Leone, 8,297,882
Togo, 7,886,000
Hong Kong, 7,403,100
Paraguay, 7,353,038
Laos, 7,337,783
Libya, 7,054,493
El Salvador, 6,825,935
Serbia, 6,797,105
Lebanon, 6,769,000
Kyrgyzstan, 6,800,000
Nicaragua, 6,595,674
Bulgaria, 6,520,314
Turkmenistan, 6,118,000
Denmark, 5,910,577
Congo, 5,657,000
Central African Republic, 5,633,412
Finland, 5,522,135
Singapore, 5,453,600
Norway, 5,455,582
Slovakia, 5,434,712
Palestine, 5,227,193
Costa Rica, 5,163,038
New Zealand, 5,129,979
Ireland, 5,123,536
Kuwait, 4,670,713
Liberia, 4,661,010
Oman, 4,527,446
Panama, 4,278,500
Mauritania, 4,271,197
Croatia, 3,888,529
Georgia, 3,688,600
Eritrea, 3,601,000
Uruguay, 3,554,915
Mongolia, 3,461,542
Bosnia and Herzegovina, 3,320,954
Puerto Rico, 3,285,874
Armenia, 2,963,900
Lithuania, 2,830,097
Albania, 2,829,741
Qatar, 2,799,202
Jamaica, 2,734,093
Moldova, 2,597,100
Namibia, 2,550,226
Gambia, 2,487,000
Botswana, 2,410,338
Gabon, 2,233,272
Lesotho, 2,159,000
Slovenia, 2,108,977
Latvia, 1,893,400
North Macedonia, 1,832,696
Kosovo, 1,798,188
Guinea-Bissau, 1,646,077
Equatorial Guinea, 1,505,588
Bahrain, 1,501,635
Trinidad and Tobago, 1,367,558
Estonia, 1,331,796
East Timor, 1,317,780
Mauritius, 1,266,334
Eswatini, 1,172,000
Djibouti, 976,107
Cyprus, 918,100
Fiji, 898,402
Comoros, 758,316
Bhutan, 763,200
Guyana, 743,699
Solomon Islands, 728,041
Macau, 683,200
Luxembourg, 645,397
Montenegro, 621,306
, 612,000
Suriname, 598,000
Cape Verde, 563,198
Malta, 519,562
Belize, 430,191
Brunei, 429,999
Bahamas, 393,450
Maldives, 383,135
Northern Cyprus, 382,230
Iceland, 381,370
Transnistria, 306,000
Vanuatu, 301,295
Barbados, 288,000
French Polynesia, 279,890
New Caledonia, 273,674
Abkhazia, 245,424
São Tomé and Príncipe, 214,610
Samoa, 199,853
Saint Lucia, 178,696
Guam, 153,836
Curaçao, 153,671
Artsakh, 148,900
Kiribati, 120,740
